Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2017,12,Male,18.0,Right-Handed,193,33,198,2,Walk,4,.289,48,Baseball/Softball,500.0,500.0,500.0,500.0,0.0,0.0,32,Right foot,203,204,Ring finger,March,Summer,Yes,No,Meat,Water,Languages,7,11,5.0,Yes - broadband connection,Text messaging,100,300,8,1,20,0,25,4,4,8,20,1,0,0,A lot,Graduate degree,Rap/Hip hop,Freeze time,Famous,Relative,Health
USA,FL,2025,11,Female,15.0,Right-Handed,166,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2022,12,Female,17.0,Right-Handed,156,22,156,1,Car,15,.939,57,Basketball,700.0,600.0,800.0,1000.0,500.0,700.0,22,Same length,85,85,Index finger,August,Summer,No,No,Pizza/Pasta,Water,Science,7,8,5.0,Yes - other,Text messaging,20,25,5,4,1,15,8,2,24,24,4,6,12,5,Some,Some college,Pop,Invisibility,Happy,Friend,Health
USA,GA,2015,11,Female,16.0,Right-Handed,13 ,22,120,1,Bus,8,0.4 ,29,Lacrosse,500.0,500.0,900.0,500.0,500.0,500.0,22,Same length,8,6,Ring finger,November,Fall,Yes,No,Seafood,Water,English,5,8,4.0,Yes - other,Text messaging,5,8,10,15,3,1,3,0,15,20,15,2,5,1,A lot,Other,Rhythm and blues (R&B),Fly,Happy,Other,"Wildlife, animals"
USA,FL,2018,12,Male,16.0,Right-Handed,170,23,165,1,Bicycle,30,.312,35,Cycling,193.0,535.0,27.0,251.0,102.0,380.0,24,Left foot,85,75,Index finger,March,Summer,No,No,Fruit,Water,Music,8,6,3.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",6,11,8,1,3,1,4,3,2,2,15,10,2,1,Very little,Graduate degree,Pop,Freeze time,Happy,Community leader or elder,Education/Youth development
USA,FL,2024,12,Male,17.0,Right-Handed,186,26,186,1,Car,15,0.01,31,Soccer,700.0,800.0,900.0,1000.0,500.0,600.0,26,Same length,90,90,Same length,September,Winter,Yes,No,Meat,Water,Other,6,9,5.0,Yes - other,In person,100,100,6,1,6,10,22,3,1,4,10,0,13,3,A lot,Some college,Rap/Hip hop,Fly,Healthy,Relative,Religious
USA,FL,2021,11,Male,18.0,Right-Handed,164,22,155,1,Car,15,0.612,34,Swimming,,,,,,,22,Same length,70,60,Index finger,January,Fall,No,No,Meat,Soft drink (caffeinated),Science,6,10,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",250,500,,,,,,,,,,,,,A lot,High school,Other,Fly,Happy,Friend,Health
USA,DE,2016,12,Male,18.0,Ambidextrous,185,30.4,190,2,Car,55,0.674,52,Swimming,700.0,600.0,600.0,600.0,900.0,1000.0,30.4,Same length,100,80,Same length,June,Summer,Yes,No,No favorite,Soft drink (caffeinated),Social studies,5,12,4.0,Yes - broadband connection,Text messaging,40,40,0,2,7,0,2,15,2,2,15,15,0,0,A lot,Graduate degree,Rock and roll,Freeze time,Rich,Friend,"Wildlife, animals"
USA,FL,2019,12,Female,18.0,Right-Handed,160,22,156,1,Car,15,0.406,41 ,Other,695.0,481.0,369.0,524.0,626.0,770.0,22,Same length,68,78,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,History,7,9,3.0,Yes - broadband connection,Text messaging,10,10,10 ,20,10,25,7,5,15,18,18,5,12,4,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,Education/Youth development
USA,GA,2022,12,Female,16.0,Right-Handed,183,27,177,1,Car,20,.421,37,Walking/Hiking,1000.0,500.0,100.0,500.0,750.0,1000.0,27,Same length,85,10,Index finger,July,Fall,No,No,Rice/Noodle dishes,Water,Science,6,10,3.0,Yes - broadband connection,Text messaging,2,2,3,.5,3,14,1,21,4,1,2,14,15,1,Some,Undergraduate degree,Punk rock,Freeze time,Happy,Doctor or nurse,"Wildlife, animals"
USA,GA,2014,12,Female,17.0,Right-Handed,166,21.5,166.5,1,Car,15,.461,38,Athletics,800.0,800.0,1000.0,800.0,1000.0,1000.0,22,Left foot,100,105,Ring finger,September,Fall,No,No,Fruit,Water,Mathematics and statistics,8,9,6.0,Yes - broadband connection,Text messaging,50,50,10,1,10,10,14,0,3,2,15,10,0,2,A lot,Graduate degree,Other,Fly,Happy,Coach or club leader,International aid
USA,FL,2021,12,Male,17.0,Right-Handed,198,35,198,2,Car,25,.355,33,Rowing,200.0,200.0,100.0,100.0,800.0,800.0,35,Same length,95,97,Ring finger,January,Winter,Yes,No,Meat,Tea,Mathematics and statistics,6,10,3.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,20,5,2,4,10,10,20,6,2,1,0,0,5,Some,Graduate degree,Rock and roll,Telepathy,Rich,Community leader or elder,"Arts, culture, sports"
USA,GA,2025,12,Female,17.0,Right-Handed,162.5,24,,1,Car,30,0.563,43,Athletics,80.0,75.0,50.0,150.0,20.0,100.0,24,Same length,,650,Index finger,June,Summer,Yes,No,Seafood,Sports drink,Other,6,9,4.0,Yes - other,Internet chat or instant messaging,20,15,8,9,4,9,14,5,8,3,7,3,10,2,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Rich,Sports person,Other
USA,FL,2020,12,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2015,12,Female,17.0,Right-Handed,152,22.5,160.5,1,Car,7,.425,34,Running/Jogging,100.0,100.0,100.0,100.0,50.0,100.0,21.5,Right foot,62,62,Same length,April,Spring,No,No,No favorite,Soft drink (non-caffeinated),History,7,7,4.0,Yes - broadband connection,Cell phone,100,100,8,3,3,5,0,0,14,17,17,3,0,3,Some,Graduate degree,Other,Invisibility,Healthy,Business person,International aid
USA,DC,2011,6,Female,11.0,Right-Handed,160,24,160,1,Car,45,0.577,54,Swimming,1000.0,1000.0,476.0,,797.0,968.0,23,Same length,70,70,Same length,July,Summer,Yes,No,Seafood,Juice,Computers and technology,8,5,5.0,Yes - broadband connection,In person,9,10,1,1,2,3,4,2,2,1,3,4,2,2,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Sports person,Health
